product_name,category,description,price
Wireless Mouse,Accessories,Ergonomic wireless mouse rechargeable silent click usb,25
Gaming Mouse,Accessories,High dpi rgb gaming mouse programmable buttons,45
Mechanical Keyboard,Accessories,Mechanical keyboard rgb blue switches gaming edition,70
Wireless Keyboard,Accessories,Slim wireless keyboard rechargeable office typing keyboard,55
Laptop Stand,Accessories,Adjustable aluminum laptop stand portable cooling design,35
USB Hub,Accessories,Four port usb hub high speed data transfer,20
Webcam HD,Accessories,1080p hd webcam built in microphone video meetings,65
Laptop Cooling Pad,Accessories,Cooling pad with fans rgb support gaming laptops,40
Smartphone Stand,Accessories,Adjustable desk smartphone stand aluminum holder,18
Graphics Tablet,Accessories,Digital drawing tablet pressure sensitive pen design work,140
Ring Light,Accessories,Led ring light for streaming meetings content creation,50
Docking Station,Accessories,Usb c docking station multiple ports hdmi ethernet,160

Noise Cancelling Headphones,Audio,Over ear headphones active noise cancellation deep bass,120
Bluetooth Earbuds,Audio,True wireless earbuds charging case clear sound,80
Gaming Headset,Audio,Surround sound gaming headset noise cancelling mic,95
Portable Speaker,Audio,Bluetooth portable speaker waterproof strong bass battery,75
Microphone USB,Audio,Usb condenser microphone streaming podcast recording,110

Monitor 24 Inch,Monitors,Full hd 24 inch ips monitor thin bezel display,180
Monitor 27 Inch,Monitors,27 inch qhd monitor high refresh rate gaming display,320
Ultrawide Monitor,Monitors,34 inch ultrawide monitor productivity multitasking display,450
Gaming Monitor 144Hz,Monitors,24 inch 144hz gaming monitor low latency esports display,250

SSD 256GB,Storage,Fast solid state drive 256gb sata storage upgrade,45
SSD 512GB,Storage,Fast solid state drive 512gb sata storage upgrade,70
SSD 1TB,Storage,High speed solid state drive 1tb storage laptop desktop,120
External HDD 2TB,Storage,Portable external hard drive 2tb backup storage usb 3,95
USB Flash Drive 128GB,Storage,Compact usb flash drive 128gb fast transfer,25

Router WiFi 6,Networking,WiFi 6 router dual band high speed internet coverage,150
Network Switch 8 Port,Networking,8 port gigabit ethernet network switch unmanaged,65
Cat6 Ethernet Cable,Networking,Cat6 high speed ethernet cable reliable connection,15
WiFi Range Extender,Networking,Wireless wifi extender booster improves coverage,55

Laptop Backpack,Bags,Water resistant laptop backpack usb charging port travel bag,60
Travel Backpack 40L,Bags,Large travel backpack waterproof multiple compartments,85
Messenger Bag,Bags,Stylish laptop messenger bag professional office use,50

Phone Charger 65W,Power,Fast charger 65w usb c power adapter laptop phone,45
Power Bank 10000mAh,Power,Portable power bank compact fast charging 10000mah,40
Power Bank 20000mAh,Power,Portable power bank fast charging 20000mah battery,65
USB C Charger 100W,Power,High speed usb c charger 100w laptop fast charging,75